SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
FCA4382,Strawberry Shortcake,8,16,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCA4384,Berry Berry Short Cake,8,16,0,0,0,0,12,4/16/2019,4/16/2019,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCA4390,"Fruit Cake, 2 Pc/Set",12,24,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCJU1001,Roasted Ham,5,10,0,,,,0,2/13/2014,8/13/2010,10/18/2010,0.25,FOOD,DINNER,NONE,
FCJU1002,Ham And Fruits On Metal Tray,14,28,0,0,0,0,0,3/16/2016,3/16/2016,10/18/2010,0.7,FOOD,DINNER,NONE,
FCJU1004,.Roast Ham On Round Tray,10,20,0,0,0,0,6,2/13/2019,12/19/2018,10/18/2010,0.5,FOOD,DINNER,NONE,
FCJU1005,Ham On Cooking Pan,9.5,19,0,0,0,0,11,4/23/2019,4/23/2019,10/18/2010,0.47,FOOD,DINNER,NONE,
FCJU1006,Leg Of Lamb On Metal Tray,14.5,29,0,0,0,0,3,4/5/2019,4/5/2019,10/18/2010,0.72,FOOD,DINNER,NONE,
FCJU1007,Chicken with Fruits On Metal Tray,12.5,25,0,0,0,0,0,3/24/2017,3/24/2017,10/18/2010,0.62,FOOD,DINNER,NONE,
FCJU1009,.Turkey On Dish with Fruits,12,24,0,0,0,0,1,2/15/2019,2/15/2019,10/18/2010,0.6,FOOD,DINNER,NONE,
FCJU1012,Cheese & Crackers & Grapes,7,14,0,0,0,0,0,10/2/2016,3/27/2015,10/18/2010,0.35,FOOD,APPETIZERS,NONE,
FCJU1018,Lady Fingers On Glass Stand,8,16,0,0,0,0,0,12/6/2017,12/6/2017,10/18/2010,0.4,FOOD,DESSERT,NONE,
FCJU1019,Lady Fingers with  2 Dishes,15,30,0,0,0,0,2,11/3/2018,11/3/2018,10/18/2010,0.75,FOOD,DESSERT,NONE,
FCJU1020,Strawberry Cake with Hot Coco For Two,19,38,0,0,0,0,12,4/16/2019,4/16/2019,10/18/2010,0.95,FOOD,DESSERT,NONE,
FCJU1021,Chocolate & Vanilla Cake with 2 Dishes,12,24,0,0,0,0,11,1/2/2019,1/2/2019,10/18/2010,0.6,FOOD,CAKES & PIES,NONE,
FCJU1024,Lemon Tarts On Wooded Board,13,26,0,0,0,0,0,12/15/2014,12/15/2014,10/18/2010,0.65,FOOD,DESSERT,NONE,
FCJU1026,Strawberry Cake with 2 Dishes,12,24,0,0,0,0,0,3/16/2016,3/16/2016,10/18/2010,0.6,FOOD,CAKES & PIES,NONE,
FCJU1048,Sweets On Platter,8.5,17,0,,,,0,2/13/2014,12/5/2008,10/18/2010,0.42,FOOD,DESSERT,NONE,
FCJU1052,Assorted Fruit Tart & Cup Cakes,6.5,13,0,,,,0,2/13/2014,12/5/2008,10/18/2010,0.32,FOOD,DESSERT,NONE,
FCJU1053,Strawberry Cup Cakes,3.5,7,,,,,0,2/13/2014,7/26/2013,4/25/2012,0,FOOD,NONE,NONE,
FCJU1055,Toasta with Beers,11.5,23,0,0,0,0,0,1/7/2016,12/5/2008,10/18/2010,0.57,FOOD,APPETIZERS,NONE,
FCJU1059,Oyster Cocktail On Platter,9.5,19,,,,,0,2/13/2014,4/25/2012,4/25/2012,0,FOOD,NONE,NONE,
FCJU1061,Preparing Tostada,9.5,19,0,0,0,0,7,11/9/2018,11/9/2018,4/25/2012,0,FOOD,NONE,NONE,
FCJU1064,.Oyster & Shrimp Cocktail,9.5,19,0,0,0,0,2,3/13/2019,3/13/2019,4/25/2012,0,FOOD,NONE,NONE,
FCJU1078,Apple,4,8,,,,,0,2/13/2014,12/15/2010,12/15/2010,0,FOOD,FRUIT,NONE,
FCJU1079,Mouse Eating T-Bone,3,6,,,,,0,2/13/2014,4/28/2012,4/28/2012,0,FOOD,NONE,NONE,
FCJU1120,White Cake,7.5,15,,,,,0,2/13/2014,9/6/2012,10/18/2010,0.37,FOOD,CAKES & PIES,NONE,
FCJU1123,.Bread On Board,6.5,13,0,0,0,0,2,4/24/2019,4/24/2019,4/28/2012,0,FOOD,NONE,NONE,
FCJU1126,Tea For Two,7.5,15,0,0,0,0,8,4/24/2019,4/24/2019,4/28/2012,0,FOOD,NONE,NONE,
FCJU1128,Breads,6.5,13,,,,,0,2/13/2014,4/28/2012,4/28/2012,0,FOOD,NONE,NONE,
FCJU1129,Eggs In Basket,6.5,13,,,,,0,2/13/2014,4/28/2012,4/28/2012,0,FOOD,NONE,NONE,
FCLL1001,"Chocolate Lover, 2Pc",5,10,0,0,0,0,12,4/16/2019,4/16/2019,10/18/2010,0.25,FOOD,DESSERT,NONE,
FCLL1002,"Fruit Chocolate, 2Pc",5,10,0,,,,0,2/13/2014,12/5/2008,10/18/2010,0.25,FOOD,DESSERT,NONE,
FCLL1002SS,"Fruit Chocolate, 2 Pc 1/2",4,8,,,,,0,2/13/2014,10/31/2012,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCLL1003,"White Cake with Chocolate Bow, 2Pc",5,10,0,0,0,0,12,4/16/2019,4/16/2019,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCLL1003SS,"White Cake with Chocolate Bow, 2 Pc 1/2 Inch",4,8,0,0,0,0,0,1/7/2016,10/31/2012,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCLL1005,"Wh Cake  with Yw Roses, 2Pc",5,10,0,0,0,0,0,3/18/2019,3/18/2019,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCLL1005SS,"White Cake with Yellow Roses, 2 Pieces, 1/2 Inch Scale",4,8,0,0,0,0,12,4/16/2019,4/16/2019,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCLL1006,"Round White Cake with Pink Roses, 2 Pieces",5,10,0,0,0,0,7,3/26/2019,3/26/2019,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCLL1006SS,"Round White Cake with Pink Roses, 2 Pieces, 1/2 Inch Scale",5,10,0,0,0,0,9,4/23/2019,4/23/2019,10/31/2012,0,FOOD,CAKES & PIES,NONE,
FCLL1007,"Lady Finger Strawberry Cake, 2Pc",5,10,0,0,0,0,0,6/16/2016,6/16/2016,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FCLL1008,"Lady Finger Strawberry Cake, Sm 2Pc",5,10,0,,,,0,2/13/2014,12/5/2008,10/18/2010,0.25,FOOD,CAKES & PIES,NONE,
FR11010,"Ice Cream Sundae, Chocolate",2,3.99,0,0,0,0,0,5/11/2018,4/14/2017,5/11/2018,-0.5,FOOD,DESSERT,NONE,
FR11131,".Big Berry Jelly, Filled",1.5,2.99,0,0,0,0,4,1/22/2019,1/22/2019,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.26E+11
FR11139,".Oatmeal Box, Bowl, Oatmeal",2,3.99,0,0,0,0,1,4/12/2019,4/12/2019,2/13/2014,0,FOOD,BREAKFAST,NONE,7.26E+11
FR11185,Flour with Measuring Cup,2,3.99,0,0,0,0,0,5/15/2018,5/15/2018,2/13/2014,0,FOOD,MISC,NONE,7.26E+11
FR11187,Pizza Box with 4 Napkins,1.5,2.99,0,0,0,0,0,3/8/2019,3/8/2019,2/13/2014,0,FOOD,PIZZA,NONE,7.26E+11
FR11194,Peanut Butter & Jelly In Making,3.75,7.49,0,0,0,0,6,2/19/2019,2/19/2019,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.17E+11
FR11302,"Premium Butter, 4 Sticks",1.5,2.99,0,0,0,0,0,6/21/2018,6/21/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.26E+11
FR21172,Hamburger On Bun,1.35,2.69,0,0,0,0,3,6/8/2018,6/8/2018,2/13/2014,0,FOOD,SANDWICHES,NONE,7.26E+11
FR40022,Gallon Jug Of Milk,1,1.99,0,0,0,0,0,4/1/2019,4/1/2019,3/15/2012,0.15,FOOD,SOUP,NONE,7.17E+11
FR40050,.Chocolate Cream Cookies,1,1.99,0,0,0,0,12,12/26/2018,6/27/2014,2/13/2014,0,FOOD,DESSERT,NONE,7.26E+11
FR40063,"Farmer Dan Vegetables,12",9,17.99,0,0,0,0,0,3/11/2019,3/11/2019,12/4/2014,0,FOOD,VEGETABLES,NONE,7.26E+11
FR40076,Vintage Asst Food,0.9,1.79,0,0,0,0,0,12/16/2017,12/16/2017,2/13/2014,0,FOOD,MISC,NONE,7.26E+11
FR40093,Grandpa'S Oats,1.25,2.49,0,0,0,0,6,3/25/2019,3/25/2019,2/13/2014,0,FOOD,BREAKFAST,NONE,7.26E+11
FR40096,.Vintage Cocokream Box,1,1.99,0,0,0,0,9,12/26/2018,11/22/2018,2/13/2014,0,FOOD,MISC,NONE,7.26E+11
FR40172,"Detergent Bottle, Orange",1,1.99,0,0,0,0,0,1/15/2019,1/18/2013,1/15/2019,0,FOOD,APPETIZERS,NONE,
FR40202,French Salad Dressing,1.25,2.49,0,0,0,0,6,5/11/2018,5/11/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,
FR40203,Italian Salad Dressing,1.25,2.49,0,0,0,0,2,4/1/2019,4/1/2019,2/13/2014,0,FOOD,CONDIMENTS,NONE,
FR40204,Ranch Salad Dressing,1.25,2.49,0,0,0,0,1,4/1/2019,4/1/2019,2/13/2014,0,FOOD,CONDIMENTS,NONE,
FR40239,.Ketchup Only,1,1.99,0,0,0,0,2,12/26/2018,5/30/2018,2/13/2014,0,FOOD,CONDIMENTS,NONE,7.26E+11
FR40245,Hot Dog In Bun,1.5,2.99,0,0,0,0,42,4/30/2019,4/30/2019,11/6/2014,0,FOOD,SANDWICHES,NONE,7.26E+11
FR40268,"Food Cans Set, Assorted, Set/12",9,17.99,0,0,0,0,0,11/10/2017,11/10/2017,2/13/2014,0,FOOD,GENERAL STORE,NONE,7.26E+11
