SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
HR53954,"Beer Set #2-On Tap,Amerst,Hofbrau",4.5,9,0,0,0,0,11,1/4/2019,1/4/2019,7/21/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53955,Tonic Water - 1 Liter,1.5,3,0,0,0,0,2,3/25/2019,3/25/2019,10/29/2011,0.25,BEVERAGES,MISC,NONE,
HR53956,Ginger Ale - 1 Liter,1.5,3,0,0,0,0,1,4/8/2019,4/8/2019,10/29/2011,0.25,BEVERAGES,SODA,NONE,
HR53957,Club Soda - 1 Liter,1.5,3,0,0,0,0,5,3/25/2019,3/25/2019,5/16/2011,0.25,BEVERAGES,SODA,NONE,
HR53959,Irish Whiskey,1.5,3,0,0,0,0,13,4/3/2019,4/3/2019,5/29/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53960,London Dry Gin,1.5,3,0,0,0,0,4,1/24/2019,1/24/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53961,Imported Scotch Whiskey,1.5,3,0,0,0,0,5,4/15/2019,4/15/2019,3/3/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53962,Baristov Vodka,1.5,3,0,0,0,0,3,3/25/2019,3/25/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53963,Macruer Scotch,1.5,3,0,0,0,0,0,4/3/2019,4/3/2019,5/29/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53964,Villas Caribbean Rum,1.5,3,0,0,0,0,6,3/18/2019,3/18/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53965,Barracas Rum,1.5,3,0,0,0,0,0,3/13/2019,3/13/2019,10/4/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53966,Nichnaya Vodka,1.5,3,0,0,0,0,6,4/30/2019,4/30/2019,5/22/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53967,Beaumont'S Kentucky Bourbon,1.5,3,0,0,0,0,9,3/25/2019,3/25/2019,3/3/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53968,Bonenfant Canadian Whiskey,1.5,3,0,0,0,0,6,4/9/2019,4/9/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53969,Barrons Gin,1.5,3,0,0,0,0,4,4/3/2019,4/3/2019,9/17/2014,0.25,BEVERAGES,ALCOHOL,NONE,
HR53970,Taos Viejo Tequila,1.5,3,0,0,0,0,0,4/1/2019,4/1/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53971,Brandons Dry Gin,1.5,3,0,0,0,0,0,4/30/2019,4/30/2019,11/20/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53972,Pruneur Cognac,1.5,3,0,0,0,0,3,4/30/2019,4/30/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53973,Blackberry Brandy,1.5,3,0,0,0,0,8,4/30/2019,4/30/2019,7/12/2013,0.25,BEVERAGES,ALCOHOL,NONE,
HR53974,"Liquor Set#1-Gin, Irish Whiskey, Scotch Whiskey",4.5,9,0,0,0,0,4,4/19/2019,4/19/2019,10/4/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53975,"Liquor Set #2-Vodka,Scotch,Rum",4.5,9,0,0,0,0,3,4/25/2019,4/25/2019,1/31/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53976,"Liquor Set #3-Rum,Vodka,Bourbon",4.5,9,0,0,0,0,2,4/19/2019,4/19/2019,1/31/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53977,"Liquor Set #4-Whiskey,Gin,Tequila",4.5,9,0,0,0,0,6,3/7/2019,3/7/2019,3/6/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53978,"Liquor Set #5-Gin,Cognac,Brandy",4.5,9,0,0,0,0,10,3/7/2019,3/7/2019,1/31/2012,0.75,BEVERAGES,ALCOHOL,NONE,
HR53979,Puro Spring Water,1.5,3,0,0,0,0,2,11/30/2018,11/30/2018,1/31/2012,0.25,BEVERAGES,MISC,NONE,
HR53981,"Gift Wine Box Set, Brands Vary",4.5,9,0,0,0,0,2,6/14/2018,6/14/2018,7/21/2012,0,BEVERAGES,ALCOHOL,NONE,
HR53983,.Cola Soda - 1 Liter,1.5,3,0,0,0,0,2,11/30/2017,3/16/2014,11/27/2013,0.25,BEVERAGES,SODA,NONE,
HR53985,Orange Soda - 1 Liter,1.25,2.5,0,0,0,0,0,9/15/2018,9/15/2018,12/23/2009,0,BEVERAGES,SODA,NONE,
HR53986,".Soda Set-1 Liters- Cola, Lemonlime, Orange, R Beer",6,12,0,0,0,0,2,11/30/2017,5/27/2015,10/4/2012,0.75,BEVERAGES,SODA,NONE,
HR53987,Cola Soda - 2 Liter,1.5,3,0,0,0,0,7,10/4/2018,10/4/2018,10/4/2012,0.25,BEVERAGES,SODA,NONE,
HR53988,Lemon-Lime Soda - 2 Liter,1.5,3,0,0,0,0,5,3/1/2019,3/1/2019,7/19/2011,0.25,BEVERAGES,SODA,NONE,
HR53989,Orange Soda - 2 Liter,1.5,3,0,0,0,0,12,2/12/2019,2/12/2019,9/3/2011,0.25,BEVERAGES,SODA,NONE,
HR53990,"Soda Set - 2Liter, Cola, Lemonlime, Orange, R Beer",6,12,0,0,0,0,2,2/11/2019,2/11/2019,10/4/2012,0.75,BEVERAGES,SODA,NONE,
HR53991,Bottle Of Wine In A Gift Bag,2.5,5,0,0,0,0,9,2/27/2019,2/27/2019,12/23/2009,0,BEVERAGES,ALCOHOL,NONE,
HR53992,Peroni Italian Beer,1.5,3,0,0,0,0,0,4/3/2019,4/3/2019,7/21/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53993,Gaticciaia Italian Red Table Wine,1.5,3,0,0,0,0,0,3/13/2019,3/13/2019,1/31/2012,0.25,BEVERAGES,ALCOHOL,NONE,
HR53996,.Hyde Park Water,1.5,3,0,0,0,0,6,11/30/2017,12/4/2014,3/3/2012,0.25,BEVERAGES,MISC,NONE,
HR54048,"Hot Cocoa Mix, Quart Of Milk, Cup Of Cocoa",3.25,6.5,0,0,0,0,4,3/26/2019,3/26/2019,12/23/2009,0,BEVERAGES,MISC,NONE,
HR54120,Half-Gallon Milk Bottle,1.25,2.5,0,0,0,0,0,4/30/2019,4/30/2019,5/22/2012,0.25,BEVERAGES,MISC,NONE,
