SKU,NAME,PRICE,RETAIL_PRICE,WEIGHT,LENGTH,WIDTH,HEIGHT,QUANTITY,LASTUPDATE,LAST_QUANTITY_UPDATE,LAST_PRICE_UPDATE,LAST_PRICE_CHANGE,ITMGRP_NAME,CLASS1_NAME,CLASS2_NAME,BARCODE1
ISL0196,Pick Axe,5.25,10.5,0,0,0,0,6,4/11/2019,4/11/2019,1/31/2012,1.5,ACCESSORIES,TOOLS,NONE,
ISL0225,Artists Paint Brush,1.4,2.8,0,0,0,0,7,4/9/2019,4/9/2019,1/31/2012,0.15,ACCESSORIES,ART,NONE,
ISL0236,"Flower Pot & Base, Terra Cotta",2.7,5.4,0,0,0,0,1,2/13/2018,2/13/2018,1/31/2012,0.45,ACCESSORIES,GARDEN,NONE,
ISL0237,"Flower Pot & Base, Small",2.5,5,0,0,0,0,4,12/9/2017,12/9/2017,1/31/2012,0.4,ACCESSORIES,GARDEN,NONE,
ISL0302,Black Coffee Pot,2.2,4.4,0,0,0,0,4,4/16/2019,4/16/2019,1/31/2012,0.45,ACCESSORIES,TEA & COFFEE SERVICE,NONE,
ISL0330,Ice Tongs,1.8,3.6,0,0,0,0,1,9/5/2018,9/5/2018,1/31/2012,0.3,ACCESSORIES,MISC,NONE,
ISL0475,Mug-Pewter Color,1.6,3.2,0,0,0,0,3,5/17/2018,5/17/2018,1/31/2012,0.35,ACCESSORIES,MUG,NONE,
ISL0476,Mug-Fancy-Pewter Color,1.75,3.5,0,0,0,0,5,4/1/2019,4/1/2019,1/31/2012,0.25,ACCESSORIES,MUG,NONE,
ISL0920,"Candlestick, Carter Gru, Silver Color",2.1,4.2,0,0,0,0,4,4/9/2019,4/9/2019,1/31/2012,0.6,ACCESSORIES,CANDLESTICK,NONE,
ISL0921,"Plain Candlestick, Silver Color",2.1,4.2,0,0,0,0,1,12/8/2017,12/8/2017,1/31/2012,0.35,ACCESSORIES,CANDLESTICK,NONE,
ISL1240,Battle Axe,3.2,6.4,0,0,0,0,0,5/2/2019,5/2/2019,1/31/2012,0.7,ACCESSORIES,TOOLS,NONE,
ISL24012,"Coal Bucket, Black",3.2,6.4,0,0,0,0,0,2/1/2019,2/1/2019,1/31/2012,0.7,ACCESSORIES,BUCKETS & PAILS,NONE,
ISL24041,Silver Scissors,1.3,2.6,0,0,0,0,6,4/9/2019,4/9/2019,1/31/2012,0.2,ACCESSORIES,SEWING ROOM,NONE,
ISL24042,Gold Scissors,1.3,2.6,0,0,0,0,5,3/15/2019,3/15/2019,1/31/2012,0.2,ACCESSORIES,SEWING ROOM,NONE,
ISL2416,Red Handle Scissors,1.45,2.9,0,0,0,0,6,12/10/2018,12/10/2018,1/31/2012,0.2,ACCESSORIES,SEWING ROOM,NONE,
ISL2420,"Trivet, Black",1.55,3.1,0,0,0,0,5,3/3/2018,3/3/2018,1/31/2012,0.3,ACCESSORIES,MISC,NONE,
ISL2459,"Coat Hanger, Wood Like",1.5,3,0,0,0,0,0,10/11/2018,10/11/2018,1/31/2012,0.25,ACCESSORIES,BED AND BATH,NONE,
ISL2509,Fireman's Axe,2.5,5,0,0,0,0,2,4/8/2019,4/8/2019,1/31/2012,0.5,ACCESSORIES,TOOLS,NONE,
ISL2549,"Scissors, Stork, Gold Color 1 Inch Long",1.2,2.4,0,0,0,0,15,10/31/2018,10/31/2018,1/31/2012,0.2,ACCESSORIES,SEWING ROOM,NONE,
ISL2600,Ship'S Wheel Mantle Clock,2.1,4.2,0,0,0,0,6,4/2/2019,4/2/2019,1/31/2012,0.35,ACCESSORIES,CLOCKS,NONE,
ISL2601,Wall Plaque with Anchor,2.7,5.4,0,0,0,0,3,2/26/2019,2/26/2019,1/31/2012,0.7,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL2630,Sphinx Bookends,3,6,0,0,0,0,2,4/30/2019,4/30/2019,10/23/2012,-0.5,ACCESSORIES,OFFICE,NONE,
ISL2635,Alarm Clock,1.5,3,0,0,0,0,6,2/22/2019,2/22/2019,1/31/2012,0.25,ACCESSORIES,CLOCKS,NONE,
ISL2640,Fancy Gold Clock,3.2,6.4,0,0,0,0,4,3/13/2019,3/13/2019,1/31/2012,0.7,ACCESSORIES,CLOCKS,NONE,
ISL2675,Steers Horn Wall Plaque,2.75,5.5,0,0,0,0,0,4/30/2019,4/30/2019,1/31/2012,0.25,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL2715,"Clock, Mantle, Gold Color",2.25,4.5,0,0,0,0,0,4/30/2019,4/30/2019,1/31/2012,0.5,ACCESSORIES,CLOCKS,NONE,
ISL2759,"Bookends,Castle,Gold Color",3,6,0,0,0,0,1,1/30/2019,1/30/2019,1/31/2012,0.75,ACCESSORIES,OFFICE,NONE,
ISL2801,"Clock, Fancy, Pink",3.25,6.5,0,0,0,0,1,6/1/2018,12/31/2013,1/31/2012,0.75,ACCESSORIES,CLOCKS,NONE,
ISL2819,"Bookends, Tom Sawyer, Gold Color",2.95,5.9,0,0,0,0,3,10/10/2017,10/10/2017,1/31/2012,0.7,ACCESSORIES,OFFICE,NONE,
ISL2923,"Toy Shovel, Yellow",1.4,2.8,0,0,0,0,3,2/6/2019,2/6/2019,1/31/2012,0.3,ACCESSORIES,TOOLS,NONE,
ISL2924,"Toy Pail, Red",1.65,3.3,0,0,0,0,5,12/9/2017,12/9/2017,1/31/2012,0.4,ACCESSORIES,BUCKETS & PAILS,NONE,
ISL3100,Picture Frame,2.55,5.1,0,0,0,0,2,3/7/2019,3/7/2019,1/31/2012,0.55,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3103,Picture Frame,2.3,4.6,0,0,0,0,2,4/24/2018,4/24/2018,1/31/2012,0.55,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3104,Picture Frame,1.9,3.8,0,0,0,0,4,2/22/2019,2/22/2019,1/31/2012,0.4,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3105,Picture Frame,1.9,3.8,0,0,0,0,0,2/18/2019,2/18/2019,1/31/2012,0.4,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3106,Picture Frame,2.45,4.9,0,0,0,0,0,4/30/2019,4/30/2019,1/31/2012,0.7,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3107,Picture Frame,2.15,4.3,0,0,0,0,3,2/15/2019,2/15/2019,1/31/2012,0.4,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3108,Picture Frame,1.9,3.8,0,0,0,0,0,4/22/2019,4/22/2019,1/31/2012,0.4,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3109,"Picture Frame, Large Rectangle, Gold Color",2.55,5.1,0,0,0,0,3,4/22/2019,4/22/2019,1/31/2012,0.55,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3110,"Picture Frame,Lg Oval, Gold Color",2.3,4.6,0,0,0,0,6,12/9/2017,12/9/2017,1/31/2012,0.55,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3111,Picture Frame,2.3,4.6,0,0,0,0,1,3/20/2018,3/20/2018,1/31/2012,0.55,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3112,Picture Frame,2.7,5.4,0,0,0,0,2,5/9/2017,5/9/2017,1/31/2012,0.7,ACCESSORIES,PICTURES & FRAMES,NONE,
ISL3113,Picture Frame,1.65,3.3,0,0,0,0,5,2/22/2019,2/22/2019,1/31/2012,0.4,ACCESSORIES,PICTURES & FRAMES,NONE,
